chr	start	stop	ld.idx
chr1	1961168	3666172	2
chr1	4320751	5853833	4
chr1	5853833	7187275	5
chr1	7187275	9305140	6
chr1	9305140	10746927	7
chr1	10746927	11717784	8
chr1	11717784	12719464	9
chr1	14565015	16571235	11
chr1	16571235	18336405	12
chr1	18336405	20142656	13
chr1	20142656	21410095	14
chr1	21410095	22760390	15
chr1	22760390	23594100	16
chr1	23594100	25190354	17
chr1	25190354	27075376	18
chr1	29689034	31973084	20
chr1	31973084	34334157	21
chr1	34334157	37083582	22
chr1	37083582	38266175	23
chr1	38266175	39734895	24
chr1	39734895	41509656	25
chr1	41509656	43292786	26
chr1	43292786	44503511	27
chr1	44503511	46433829	28
chr1	46433829	47536904	29
chr1	47536904	48512516	30
chr1	48512516	49428505	31
chr1	49428505	51248054	32
chr1	51248054	53760589	33
chr1	53760589	55947444	34
chr1	55947444	56556055	35
chr1	56556055	58399727	36
chr1	58399727	59424737	37
chr1	59424737	61456693	38
chr1	61456693	62989418	39
chr1	62989418	64576021	40
chr1	64576021	66473721	41
chr1	66473721	68012212	42
chr1	68012212	69221933	43
chr1	69221933	70906787	44
chr1	70906787	71218722	45
chr1	71218722	73861224	46
chr1	73861224	76262450	47
chr1	76262450	79195513	48
chr1	79195513	80888506	49
chr1	80888506	83526065	50
chr1	83526065	84378812	51
chr1	84378812	85989068	52
chr1	85989068	87662948	53
chr1	87662948	89600744	54
chr1	89600744	91420760	55
chr1	91420760	93070902	56
chr1	93070902	94040635	57
chr1	94040635	95685337	58
chr1	95685337	97419693	59
chr1	97419693	99335048	60
chr1	99335048	100360849	61
chr1	100360849	101575460	62
chr1	101575460	102433189	63
chr1	103371589	105545220	65
chr1	105545220	107867043	66
chr1	107867043	109761309	67
chr1	109761309	111199115	68
chr1	111199115	112730684	69
chr1	112730684	114331223	70
chr1	114331223	115337972	71
chr1	115337972	118296444	72
chr1	151566405	153208353	76
chr1	153208353	154797927	77
chr1	154797927	156366342	78
chr1	156366342	158057622	79
chr1	158057622	159943258	80
chr1	159943258	162376931	81
chr1	162376931	165222465	82
chr1	165222465	166491280	83
chr1	166491280	169117086	84
chr1	169117086	170588635	85
chr1	170588635	173128768	86
chr1	173128768	175120632	87
chr1	175120632	177464245	88
chr1	177464245	178975174	89
chr1	178975174	178985335	90
chr1	178985335	181174985	91
chr1	181174985	182786221	92
chr1	182786221	184626379	93
chr1	184626379	186840891	94
chr1	186840891	188790814	95
chr1	188790814	189935000	96
chr1	189935000	191899800	97
chr1	191899800	194138312	98
chr1	194138312	196207071	99
chr1	196207071	197342384	100
chr1	197342384	199270756	101
chr1	199270756	200168521	102
chr1	200168521	201620847	103
chr1	201620847	203365606	104
chr1	203365606	204711940	105
chr1	208237019	210614406	108
chr1	210614406	212668988	109
chr1	212668988	214404923	110
chr1	214404923	216070292	111
chr1	216070292	218532171	112
chr1	218532171	219417229	113
chr1	219417229	221684889	114
chr1	221684889	222056878	115
chr1	222056878	224750818	116
chr1	224750818	226623159	117
chr1	226623159	229020501	118
chr1	229020501	230549509	119
chr1	230549509	231954506	120
chr1	231954506	233293538	121
chr1	233293538	234463688	122
chr1	234463688	235656136	123
chr1	235656136	237392328	124
chr1	237392328	238404507	125
chr1	238404507	239762014	126
chr1	239762014	240400791	127
chr1	240400791	241418920	128
chr1	241418920	241908300	129
chr1	241908300	243946197	130
chr1	243946197	245343444	131
chr1	245343444	247181216	132
chr2	10133	1777250	134
chr2	1777250	3926189	135
chr2	5568205	6696122	137
chr2	6696122	8282017	138
chr2	8282017	10158342	139
chr2	10158342	12279024	140
chr2	12279024	14195184	141
chr2	14195184	16148467	142
chr2	16148467	18466157	143
chr2	18466157	19492643	144
chr2	19492643	20850730	145
chr2	20850730	23118512	146
chr2	23118512	24464049	147
chr2	24464049	26672117	148
chr2	26672117	28375910	149
chr2	28375910	28994693	150
chr2	28994693	30240845	151
chr2	30240845	31327584	152
chr2	31327584	33138710	153
chr2	33138710	35119962	154
chr2	35119962	35896940	155
chr2	35896940	37905569	156
chr2	37905569	38804195	157
chr2	38804195	40054343	158
chr2	40054343	43082452	159
chr2	43082452	44086664	160
chr2	44086664	46255495	161
chr2	46255495	47091633	162
chr2	47091633	47985862	163
chr2	47985862	49795119	164
chr2	49795119	50591790	165
chr2	50591790	52263995	166
chr2	52263995	53281314	167
chr2	53281314	54458089	168
chr2	54458089	55976210	169
chr2	55976210	57201965	170
chr2	57201965	58070180	171
chr2	58070180	60064865	172
chr2	60064865	62201909	173
chr2	62201909	64398779	174
chr2	64398779	65706310	175
chr2	65706310	66999034	176
chr2	66999034	67783044	177
chr2	67783044	68912432	178
chr2	68912432	70528066	179
chr2	70528066	72947719	180
chr2	72947719	75402960	181
chr2	75402960	76686535	182
chr2	76686535	77852138	183
chr2	77852138	79823277	184
chr2	79823277	81393717	185
chr2	81393717	84913556	186
chr2	84913556	87738988	187
chr2	87738988	88855013	188
chr2	94660727	98378738	190
chr2	98378738	101205867	191
chr2	101205867	102072305	192
chr2	102072305	102971757	193
chr2	102971757	104508576	194
chr2	104508576	105593601	195
chr2	105593601	106791811	196
chr2	106791811	107812721	197
chr2	109814855	113164279	199
chr2	113164279	116014894	200
chr2	116014894	117609890	201
chr2	117609890	120546207	202
chr2	120546207	122545330	203
chr2	122545330	123974673	204
chr2	123974673	125083344	205
chr2	125083344	126616187	206
chr2	126616187	127276771	207
chr2	127276771	128716867	208
chr2	128716867	129309597	209
chr2	129309597	129900512	210
chr2	129900512	132285211	211
chr2	132285211	134401007	212
chr2	134401007	136285224	213
chr2	136285224	137940547	214
chr2	137940547	139342701	215
chr2	139342701	141047782	216
chr2	141047782	141761033	217
chr2	141761033	143761915	218
chr2	143761915	145688002	219
chr2	145688002	146519594	220
chr2	146519594	149353778	221
chr2	149353778	150874948	222
chr2	150874948	151630268	223
chr2	151630268	153148542	224
chr2	153148542	154534623	225
chr2	154534623	156704123	226
chr2	156704123	157676706	227
chr2	157676706	158720570	228
chr2	158720570	160913222	229
chr2	160913222	162647041	230
chr2	162647041	163610128	231
chr2	163610128	164322330	232
chr2	164322330	166303760	233
chr2	166303760	166499460	234
chr2	166499460	169111726	235
chr2	169111726	170369735	236
chr2	170369735	172274177	237
chr2	172274177	174724201	238
chr2	174724201	176498908	239
chr2	176498908	177688455	240
chr2	177688455	180448012	241
chr2	180448012	181401304	242
chr2	181401304	183492880	243
chr2	183492880	184415446	244
chr2	184415446	189017339	245
chr2	189017339	191108631	246
chr2	191108631	194996440	247
chr2	194996440	195582732	248
chr2	195582732	197213386	249
chr2	197213386	198446401	250
chr2	198446401	200711561	251
chr2	200711561	201953914	252
chr2	201953914	204934518	253
chr2	204934518	205870980	254
chr2	205870980	207780675	255
chr2	207780675	209076805	256
chr2	209076805	211514793	257
chr2	211514793	213149558	258
chr2	213149558	214709071	259
chr2	214709071	216850938	260
chr2	216850938	217530757	261
chr2	217530757	219589829	262
chr2	219589829	221656456	263
chr2	221656456	223994702	264
chr2	223994702	224975287	265
chr2	224975287	227255126	266
chr2	227255126	228506071	267
chr2	228506071	230978674	268
chr2	230978674	232685293	269
chr2	232685293	234242343	270
chr2	234242343	235134906	271
chr2	235134906	236540389	272
chr2	236540389	237852338	273
chr2	237852338	239030947	274
chr2	239030947	240620667	275
chr2	240620667	241210506	276
chr3	18479	1400095	278
chr3	1400095	2950436	279
chr3	2950436	4389963	280
chr3	4389963	6041496	281
chr3	6041496	7041700	282
chr3	7041700	8606875	283
chr3	8606875	9501499	284
chr3	9501499	10977979	285
chr3	10977979	13029299	286
chr3	13029299	14775393	287
chr3	14775393	16240935	288
chr3	16240935	17849626	289
chr3	17849626	19083652	290
chr3	19083652	20049856	291
chr3	20049856	21602215	292
chr3	21602215	22162752	293
chr3	22162752	23763374	294
chr3	23763374	25420067	295
chr3	25420067	26836278	296
chr3	26836278	27799419	297
chr3	27799419	29100769	298
chr3	29100769	30676463	299
chr3	30676463	32310223	300
chr3	32310223	33214100	301
chr3	33214100	35241966	302
chr3	35241966	36445350	303
chr3	36445350	38314625	304
chr3	38314625	40179807	305
chr3	40179807	41023037	306
chr3	41023037	42498510	307
chr3	42498510	45123661	308
chr3	45123661	46616010	309
chr3	46616010	47685722	310
chr3	47685722	49279539	311
chr3	49279539	51797999	312
chr3	51797999	54047363	313
chr3	54047363	55314832	314
chr3	55314832	56399879	315
chr3	56399879	58171792	316
chr3	58171792	60287177	317
chr3	60287177	62369991	318
chr3	62369991	63683610	319
chr3	63683610	65287863	320
chr3	66220021	68237764	322
chr3	68237764	69227611	323
chr3	69227611	70399877	324
chr3	70399877	72480178	325
chr3	72480178	74272666	326
chr3	74272666	75655798	327
chr3	75655798	77459684	328
chr3	77459684	78975391	329
chr3	78975391	81378159	330
chr3	81378159	82594735	331
chr3	82594735	84318328	332
chr3	84318328	85533081	333
chr3	85533081	87360582	334
chr3	87360582	88249223	335
chr3	94536472	95593127	337
chr3	95593127	98497106	338
chr3	98497106	99654918	339
chr3	99654918	100873373	340
chr3	100873373	103366116	341
chr3	103366116	104862769	342
chr3	104862769	107263964	343
chr3	107263964	109803548	344
chr3	109803548	110794923	345
chr3	110794923	113096852	346
chr3	113096852	114229016	347
chr3	114229016	115728233	348
chr3	115728233	117081306	349
chr3	117081306	118811404	350
chr3	118811404	120804208	351
chr3	120804208	122255250	352
chr3	122255250	123798921	353
chr3	123798921	125217798	354
chr3	125217798	126496100	355
chr3	126496100	128476018	356
chr3	128476018	130525891	357
chr3	130525891	132117672	358
chr3	132117672	133533329	359
chr3	133533329	135738064	360
chr3	135738064	137652241	361
chr3	137652241	140235755	362
chr3	140235755	141620255	363
chr3	141620255	143445786	364
chr3	143445786	144691974	365
chr3	144691974	145946832	366
chr3	145946832	147008842	367
chr3	147008842	149325450	368
chr3	149325450	150534217	369
chr3	150534217	151630942	370
chr3	151630942	153538782	371
chr3	153538782	154996429	372
chr3	154996429	156290911	373
chr3	156290911	157594239	374
chr3	157594239	159760101	375
chr3	159760101	161806716	376
chr3	161806716	163535417	377
chr3	163535417	165337681	378
chr3	165337681	167399641	379
chr3	167399641	168863172	380
chr3	168863172	171247120	381
chr3	171247120	172577941	382
chr3	172577941	173759495	383
chr3	173759495	175398750	384
chr3	175398750	176602499	385
chr3	176602499	178389377	386
chr3	178389377	179656798	387
chr3	179656798	181793378	388
chr3	181793378	184051895	389
chr3	184051895	185350467	390
chr3	185350467	187172556	391
chr3	187172556	189138425	392
chr3	189138425	190508818	393
chr3	190508818	192626025	394
chr3	192626025	194338942	395
chr3	194338942	195065945	396
chr3	195065945	196244537	397
chr3	196244537	197349116	398
chr3	197349116	198219751	399
chr4	10240	700926	400
chr4	1476986	2841252	402
chr4	2841252	3844313	403
chr4	3844313	4682389	404
chr4	4682389	5500661	405
chr4	5500661	6771316	406
chr4	6771316	7537965	407
chr4	7537965	8150508	408
chr4	9324753	10697528	410
chr4	10697528	12321410	411
chr4	12321410	14270377	412
chr4	14270377	15145822	413
chr4	15145822	15925386	414
chr4	15925386	17381699	415
chr4	17381699	18840251	416
chr4	18840251	20542934	417
chr4	20542934	22317724	418
